"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"112" "FBgn0203579" 931.517367928553 -0.690291952530216 0.0967228834603991 2.00604636685666e-13 9.07421224773531e-12
"113" "FBgn0203609" 785.214390970348 -0.817999537222535 0.122502630402515 3.90302899326965e-12 1.43522606959994e-10
"114" "FBgn0203638" 943.91114012399 -0.58131157175689 0.1005062423831 2.00140364059018e-09 4.87323755820281e-08
"115" "FBgn0203646" 269.056792371151 -0.6455525282564 0.145462574996737 2.0546512430006e-06 2.88478371273759e-05
"116" "FBgn0203650" 529.434250752763 0.873322221236538 0.208700834510953 3.81112286293869e-06 5.02359382590331e-05
"117" "FBgn0203693" 78.5790693708972 1.04827180494368 0.310144531835339 6.63223607298544e-05 0.000616518522657314
"118" "FBgn0203729" 2798.35654979613 -0.870384486688261 0.0811715957416418 1.16888124684303e-27 1.50437799519285e-25
"119" "FBgn0203753" 196.060597731171 -0.791816468719674 0.552139661287955 0.0116166206138833 0.046756249239275
"120" "FBgn0203814" 325.287875069159 1.91379043911616 0.262437540534466 1.97071706818614e-14 9.68428282916379e-13
"121" "FBgn0203840" 1848.23480241629 0.829304217515162 0.132396096721331 5.91224591232072e-11 1.87440734774485e-09
"122" "FBgn0203861" 188.515975480188 1.69601088383207 0.209379488463715 4.02534761622256e-17 2.5301182022664e-15
"123" "FBgn0203872" 102.908950752946 0.795315995130335 0.295386564562015 0.000932512165619532 0.00604399821493571
"124" "FBgn0203879" 11.7339612197655 4.25862755846546 1.46541623711917 0.000260470581939823 0.00204054163866045
"125" "FBgn0203886" 480.927400338369 -0.632343744485034 0.214768111086359 0.000673380619620748 0.00458721983536226
"126" "FBgn0203901" 957.778829231336 0.893887613432886 0.164233022449785 7.17187053094423e-09 1.59209635133548e-07
"127" "FBgn0203914" 114.919968692089 -1.65474983846089 0.265212159310465 3.15105467839432e-11 1.05467653647433e-09
"128" "FBgn0203916" 72.3719568574087 -0.597766448590195 0.297668256567269 0.0085043562479961 0.0367762381588343
"129" "FBgn0203923" 331.224304212052 1.10945474750926 0.163212546367506 1.0741540443785e-12 4.23820415101311e-11
"130" "FBgn0203951" 786.167163286002 0.644977939578133 0.138437952974149 7.31615900090703e-07 1.11558526034987e-05
"131" "FBgn0203982" 38.5109508950511 1.2793929482398 0.630500781751207 0.00208991018628123 0.0117638800418021
"132" "FBgn0203986" 107.569415674547 -1.51408712279821 0.292212345864844 1.45508310257911e-08 3.01936725949764e-07
"133" "FBgn0203988" 390.747488762527 -0.698673665764579 0.13265382529805 2.7706896798768e-08 5.43628423396517e-07
"134" "FBgn0203995" 661.471635573341 0.641027753592253 0.13092909724384 2.30104149320406e-07 3.83897524429461e-06
"135" "FBgn0204002" 287.89783266523 0.883888097018391 0.199024240529765 1.18191880788172e-06 1.72438923508897e-05
"136" "FBgn0204004" 308.850254108009 0.813673387833801 0.153100187775106 1.70807339545804e-08 3.46453686271987e-07
"137" "FBgn0204038" 922.472986978088 -0.617681066881401 0.101363619045013 2.79875955769244e-10 8.00460041751666e-09
"138" "FBgn0204095" 266.338572136772 -1.12254682513186 0.169089972319154 3.02497171901016e-12 1.12768859497307e-10
"139" "FBgn0204123" 120.222246669321 -1.3271088682852 0.23063887873614 7.12484101603443e-10 1.90660040159278e-08
"140" "FBgn0204139" 354.919648112265 0.611893669655686 0.211612421562876 0.000851799247421506 0.00558786508730212
"141" "FBgn0204154" 89.7692093120681 -0.703473811497328 0.262241051677848 0.00118205509449727 0.00732160247792592
"142" "FBgn0204169" 556.47717115474 0.695014627923057 0.159863627540415 2.7133948326082e-06 3.69471098421695e-05
"143" "FBgn0204178" 80.3403390575908 -0.601707670187417 0.321336915057538 0.0111581071386005 0.0453667906263294
"144" "FBgn0204192" 8.59666812347753 2.21582480450306 1.17075765470002 0.00217435976094739 0.0121671860122165
"145" "FBgn0204199" 2316.53459540811 0.910003182959806 0.111122372902154 3.52780249349659e-17 2.25674986728945e-15
"146" "FBgn0204201" 15.3047404575789 2.34809669780746 1.1689103491494 0.001362633762523 0.00824366737920324
"147" "FBgn0204209" 103.851564341689 1.90330061451538 0.278577716513946 5.74513965384758e-13 2.3616237565683e-11
"148" "FBgn0204218" 1205.89014309778 -0.623215984187752 0.0898244326015306 9.79370657606988e-13 3.89263830124601e-11
"149" "FBgn0204227" 448.524975700894 -1.29256300135111 0.269325801788125 1.2670298268749e-07 2.24187552509731e-06
"150" "FBgn0204241" 58.7886589232956 1.96421085983909 0.331448417817209 2.14202430868521e-10 6.25876345978265e-09
"151" "FBgn0204263" 541.375957852977 0.698900914950699 0.154031194022729 1.12340969277347e-06 1.65016062344755e-05
"152" "FBgn0204264" 188.71358029546 -0.790966063601963 0.182175263122571 2.18112254715156e-06 3.05046776937329e-05
"153" "FBgn0204266" 501.244300561286 0.623209064552485 0.296340429412938 0.00646354435391633 0.0297224066398084
"154" "FBgn0204286" 519.20862835699 -0.59510961362753 0.140347518666997 5.58525063577622e-06 6.93250799349905e-05
"155" "FBgn0204333" 692.854613437072 -0.680150425918707 0.114065561999606 5.18698541298871e-10 1.42326140354876e-08
"156" "FBgn0204335" 2970.05230445985 0.679228425948896 0.107276488145645 5.24695841353475e-11 1.69424410655265e-09
"157" "FBgn0204346" 747.034383988067 -1.95541885321702 0.272088563641058 3.99746152466043e-14 1.88718587524471e-12
"158" "FBgn0204373" 6402.76094145518 0.979012646659933 0.161351051230094 1.63681523198222e-10 4.9146866533045e-09
"159" "FBgn0204374" 24.3514714739193 0.936181305521383 0.566474197618274 0.00661465348904967 0.0302244373922722
